  9.5224635e+001  1.2872565e+001  8.9577134e+001  7.9404763e+001  7.5014655e+001  7.3387461e+001  7.2750277e+001  7.1732042e+001  7.0347085e+001  6.9101897e+001  6.8112714e+001  6.5705960e+001
  9.6272341e+001  2.1316967e+001  8.5001538e+001  7.5417311e+001  7.2617901e+001  7.0914406e+001  7.0592367e+001  6.9455620e+001  6.9000616e+001  6.8049576e+001  6.6873588e+001  6.5711708e+001
  9.5210701e+001  1.4621148e+001  8.8362180e+001  7.8499810e+001  7.4080349e+001  7.2961729e+001  7.1913882e+001  7.1031056e+001  7.0143402e+001  6.9107307e+001  6.7605665e+001  6.5873602e+001
  9.5772053e+001  1.9048878e+001  8.6125859e+001  7.6420574e+001  7.2814542e+001  7.1688581e+001  7.0454973e+001  7.0145766e+001  6.9348671e+001  6.8344809e+001  6.7083139e+001  6.5929872e+001
  9.5954874e+001  1.8718949e+001  8.6082522e+001  7.6792218e+001  7.2923253e+001  7.1973901e+001  7.0966358e+001  7.0113846e+001  6.8955589e+001  6.8395299e+001  6.7065588e+001  6.5751886e+001
  9.6320747e+001  2.1083182e+001  8.5041271e+001  7.5593574e+001  7.2442758e+001  7.0882322e+001  7.0436947e+001  6.9646846e+001  6.9045877e+001  6.8434104e+001  6.7046333e+001  6.5710370e+001
  9.6027737e+001  1.9166843e+001  8.6210654e+001  7.6278424e+001  7.2868897e+001  7.1538278e+001  7.0889394e+001  7.0527907e+001  6.9542505e+001  6.8323114e+001  6.7272157e+001  6.5625513e+001
  9.4026957e+001  6.4119642e+000  9.3398713e+001  8.4060529e+001  7.7804168e+001  7.5345555e+001  7.4302615e+001  7.3179334e+001  7.1635078e+001  7.0563558e+001  6.8038408e+001  6.6158390e+001
  9.5648010e+001  1.5938752e+001  8.7816450e+001  7.7868758e+001  7.3888175e+001  7.2430519e+001  7.1693173e+001  7.0718418e+001  6.9732214e+001  6.8676052e+001  6.7908189e+001  6.5608246e+001
  9.6078685e+001  2.0044457e+001  8.5650538e+001  7.6426948e+001  7.2886653e+001  7.1300807e+001  7.0629519e+001  7.0044132e+001  6.9267473e+001  6.8230262e+001  6.6853401e+001  6.5449731e+001
